AP_Rnk,PS_Rnk,KP_Rank,TournamentYear,TeamID,TS_Team,Auto_Bid,KP_Conference,TS_GP,STA_W,STA_L,STA_Pct,STA_Conf_W,STA_Conf_L,STA_Conf_Pct,STA_Home_W,STA_Home_L,STA_Away_W,STA_Away_L,STA_Neutral_W,STA_Neutral_L,STA_Top25_W,STA_Top25_L,STA_Conf_PF,STA_Conf_PA,STA_Conf_PPG,STA_Conf_PAPG,STA_PF,STA_PA,STA_PPG,STA_PAPG,TS_FGM,TS_FGA,TS_FG%,TS_3PM,TS_3PA,TS_3P%,TS_FTM,TS_FTA,TS_FT%,KP_Ajusted_Efficiency_Margin,KP_Adjusted_Offensive_Efficiency,KP_AOE_Rk,KP_Adjusted_Defensive_Efficiency,KP_ADE_Rk,KP_Adjusted_Tempo,KP_AT_Rk,KP_Luck,KP_Luck_Rk,KP_Strength_of_Schedule,KP_SOS_Rk,KP_Non-Conference_Strength_of_Schedule,KP_NCSOS_Rk,KP_Average_Opponents_Offensive_Efficiency,KP_AOOE_Rk,KP_Average_Opponents_Defensive_Efficiency,KP_AODE_Rk,Round,Round_Number,Team,Seed,Opp_AP_Rnk,Opp_PS_Rnk,Opp_KP_Rank,OppTeamID,Opp_TS_Team,Opp_KP_Conference,Opp_TS_GP,Opp_STA_W,Opp_STA_L,Opp_STA_Pct,Opp_STA_Conf_W,Opp_STA_Conf_L,Opp_STA_Conf_Pct,Opp_STA_Home_W,Opp_STA_Home_L,Opp_STA_Away_W,Opp_STA_Away_L,Opp_STA_Neutral_W,Opp_STA_Neutral_L,Opp_STA_Top25_W,Opp_STA_Top25_L,Opp_STA_Conf_PF,Opp_STA_Conf_PA,Opp_STA_Conf_PPG,Opp_STA_Conf_PAPG,Opp_STA_PF,Opp_STA_PA,Opp_STA_PPG,Opp_STA_PAPG,Opp_TS_FGM,Opp_TS_FGA,Opp_TS_FG%,Opp_TS_3PM,Opp_TS_3PA,Opp_TS_3P%,Opp_TS_FTM,Opp_TS_FTA,Opp_TS_FT%,Opp_KP_Ajusted_Efficiency_Margin,Opp_KP_Adjusted_Offensive_Efficiency,Opp_KP_AOW_Rk,Opp_KP_Adjusted_Defensive_Efficiency,Opp_KP_ADE_Rk,Opp_KP_Adjusted_Tempo,Opp_KP_AT_Rk,Opp_KP_Luck,Opp_KP_Luck_Rk,Opp_KP_Strength_of_Schedule,Opp_KP_SOS_Rk,Opp_KP_Non-Conference_Strength_of_Schedule,Opp_KP_NCSOS_Rk,Opp_KP_Average_Opponents_Offensive_Efficiency,Opp_KP_AOOE_Rk,Opp_KP_Average_Opponents_Defensive_Efficiency,Opp_KP_AODE_Rk,OppTeam,OppSeed
,,31,2021,36,Maryland,0,Big Ten,29,16,13,0.552,9,11,0.45,11,6,4,6,1,1,4,7,1290,1315,64.5,65.8,1995,1884,68.8,65,699,1533,0.456,234,663,0.353,363,517,0.702,20.15,111.6,42,91.5,27,65.3,317,-0.035,253,17.06,12,-0.8,225,110.1,22,93.1,4,First Round,1,Maryland,10,,,16,26,UConn,Big East,22,15,7,0.682,11,6,0.647,7,3,6,3,2,1,0,4,1214,1113,71.4,65.5,1596,1422,72.5,64.6,581,1323,0.439,148,440,0.336,286,391,0.731,23.33,114.3,24,90.9,25,66,301,-0.066,307,12.6,42,-2.02,243,107.9,62,95.3,28,UConn,7
5,,8,2021,5,Alabama,1,SEC,30,24,6,0.8,16,2,0.889,12,1,7,3,5,2,1,3,1474,1262,81.9,70.1,2387,2093,79.6,69.8,834,1937,0.431,320,912,0.351,399,554,0.72,26.42,112.4,34,86,2,73.9,9,0.031,107,14.2,27,8.88,70,109.7,28,95.5,32,First Round,1,Alabama,2,,,181,62,Iona,MAAC,17,12,5,0.706,6,3,0.667,4,2,4,3,4,0,0,0,668,598,74.2,66.4,1228,1121,72.2,65.9,423,951,0.445,127,358,0.355,255,343,0.743,0.39,101.1,210,100.7,161,68.3,184,0.038,92,-7.05,319,-0.41,217,97.4,321,104.4,278,Iona,15
,,181,2021,62,Iona,1,MAAC,17,12,5,0.706,6,3,0.667,4,2,4,3,4,0,0,0,668,598,74.2,66.4,1228,1121,72.2,65.9,423,951,0.445,127,358,0.355,255,343,0.743,0.39,101.1,210,100.7,161,68.3,184,0.038,92,-7.05,319,-0.41,217,97.4,321,104.4,278,First Round,1,Iona,15,5,,8,5,Alabama,SEC,30,24,6,0.8,16,2,0.889,12,1,7,3,5,2,1,3,1474,1262,81.9,70.1,2387,2093,79.6,69.8,834,1937,0.431,320,912,0.351,399,554,0.72,26.42,112.4,34,86,2,73.9,9,0.031,107,14.2,27,8.88,70,109.7,28,95.5,32,Alabama,2
3,2,4,2021,2,Baylor,0,Big 12,24,22,2,0.917,13,1,0.929,11,0,7,1,4,1,7,2,1133,942,80.9,67.3,2025,1594,84.4,66.4,746,1513,0.493,248,593,0.418,285,409,0.697,30.93,124,3,93,44,68.4,179,0.05,69,9.57,78,-4.18,270,106.4,90,96.9,66,First Round,1,Baylor,1,,,192,64,Hartford,America East,23,15,8,0.652,8,6,0.571,9,1,6,6,0,1,0,1,897,867,64.1,61.9,1515,1455,65.9,63.3,543,1251,0.434,174,533,0.326,255,358,0.712,-1.3,98.2,254,99.5,127,66.7,269,0.078,32,-6.24,304,-0.13,213,98.2,309,104.4,276,Hartford,16
,,192,2021,64,Hartford,1,America East,23,15,8,0.652,8,6,0.571,9,1,6,6,0,1,0,1,897,867,64.1,61.9,1515,1455,65.9,63.3,543,1251,0.434,174,533,0.326,255,358,0.712,-1.3,98.2,254,99.5,127,66.7,269,0.078,32,-6.24,304,-0.13,213,98.2,309,104.4,276,First Round,1,Hartford,16,3,2,4,2,Baylor,Big 12,24,22,2,0.917,13,1,0.929,11,0,7,1,4,1,7,2,1133,942,80.9,67.3,2025,1594,84.4,66.4,746,1513,0.493,248,593,0.418,285,409,0.697,30.93,124,3,93,44,68.4,179,0.05,69,9.57,78,-4.18,270,106.4,90,96.9,66,Baylor,1
,16,28,2021,31,North Carolina,0,ACC,28,18,10,0.643,10,6,0.625,10,1,3,7,5,2,2,4,1200,1131,75,70.7,2119,1943,75.7,69.4,776,1761,0.441,157,496,0.317,410,614,0.668,21.52,110.8,53,89.3,15,71.8,45,-0.017,217,14.2,28,7.67,87,110.7,14,96.5,55,First Round,1,North Carolina,8,,7,10,35,Wisconsin,Big Ten,29,17,12,0.586,10,10,0.5,11,5,5,6,1,1,3,9,1336,1322,66.8,66.1,2019,1865,69.6,64.3,711,1690,0.421,248,690,0.359,349,455,0.767,24.08,113.2,32,89.1,13,64.9,326,-0.049,283,18.06,9,1.22,194,111.7,7,93.7,8,Wisconsin,9
,7,10,2021,35,Wisconsin,0,Big Ten,29,17,12,0.586,10,10,0.5,11,5,5,6,1,1,3,9,1336,1322,66.8,66.1,2019,1865,69.6,64.3,711,1690,0.421,248,690,0.359,349,455,0.767,24.08,113.2,32,89.1,13,64.9,326,-0.049,283,18.06,9,1.22,194,111.7,7,93.7,8,First Round,1,Wisconsin,9,,16,28,31,North Carolina,ACC,28,18,10,0.643,10,6,0.625,10,1,3,7,5,2,2,4,1200,1131,75,70.7,2119,1943,75.7,69.4,776,1761,0.441,157,496,0.317,410,614,0.668,21.52,110.8,53,89.3,15,71.8,45,-0.017,217,14.2,28,7.67,87,110.7,14,96.5,55,North Carolina,8
18,3,12,2021,18,Villanova,0,Big East,22,16,6,0.727,11,4,0.733,9,0,4,4,3,2,3,1,1116,998,74.4,66.5,1662,1477,75.5,67.1,581,1291,0.45,203,576,0.352,297,388,0.765,24.05,119.3,9,95.3,68,65.1,320,-0.006,196,12.99,41,7.33,91,108.8,44,95.9,41,First Round,1,Villanova,5,,,91,49,Winthrop,Big South,24,23,1,0.958,17,1,0.944,11,1,10,0,2,0,0,0,1422,1222,79,67.9,1909,1603,79.5,66.8,674,1463,0.461,203,575,0.353,358,522,0.686,10.37,105.8,120,95.4,70,73.6,11,0.032,103,-6.45,309,3.95,147,98.8,289,105.3,316,Winthrop,12
,,91,2021,49,Winthrop,1,Big South,24,23,1,0.958,17,1,0.944,11,1,10,0,2,0,0,0,1422,1222,79,67.9,1909,1603,79.5,66.8,674,1463,0.461,203,575,0.353,358,522,0.686,10.37,105.8,120,95.4,70,73.6,11,0.032,103,-6.45,309,3.95,147,98.8,289,105.3,316,First Round,1,Winthrop,12,18,3,12,18,Villanova,Big East,22,16,6,0.727,11,4,0.733,9,0,4,4,3,2,3,1,1116,998,74.4,66.5,1662,1477,75.5,67.1,581,1291,0.45,203,576,0.352,297,388,0.765,24.05,119.3,9,95.3,68,65.1,320,-0.006,196,12.99,41,7.33,91,108.8,44,95.9,41,Villanova,5
20,,13,2021,14,Purdue,0,Big Ten,27,18,9,0.667,13,6,0.684,11,1,5,6,2,2,5,5,1312,1243,69.1,65.4,1920,1790,71.1,66.3,689,1527,0.451,192,573,0.335,350,492,0.711,23.7,114.3,23,90.6,23,66.5,274,0.019,131,17.27,11,5.71,114,111.5,11,94.2,12,First Round,1,Purdue,4,,,71,52,North Texas,C-USA,26,17,9,0.654,9,5,0.643,8,3,5,6,4,0,0,1,955,868,68.2,62,1815,1592,69.8,61.2,668,1405,0.475,197,524,0.376,282,384,0.734,13.13,106.1,119,92.9,42,63.1,350,-0.042,271,4.33,132,5.22,124,103.5,158,99.1,116,North Texas,13
,,71,2021,52,North Texas,1,C-USA,26,17,9,0.654,9,5,0.643,8,3,5,6,4,0,0,1,955,868,68.2,62,1815,1592,69.8,61.2,668,1405,0.475,197,524,0.376,282,384,0.734,13.13,106.1,119,92.9,42,63.1,350,-0.042,271,4.33,132,5.22,124,103.5,158,99.1,116,First Round,1,North Texas,13,20,,13,14,Purdue,Big Ten,27,18,9,0.667,13,6,0.684,11,1,5,6,2,2,5,5,1312,1243,69.1,65.4,1920,1790,71.1,66.3,689,1527,0.451,192,573,0.335,350,492,0.711,23.7,114.3,23,90.6,23,66.5,274,0.019,131,17.27,11,5.71,114,111.5,11,94.2,12,Purdue,4
21,14,23,2021,22,Texas Tech,0,Big 12,27,17,10,0.63,9,8,0.529,11,4,5,4,1,2,3,8,1224,1162,72,68.4,1972,1712,73,63.4,686,1549,0.443,168,485,0.346,432,608,0.711,22.38,113.1,33,90.7,24,65.4,316,-0.091,333,11.29,59,-5.55,288,108,60,96.7,60,First Round,1,Texas Tech,6,,,40,42,Utah State,Mountain West,28,20,8,0.714,15,4,0.789,10,2,5,3,5,4,0,1,1273,1061,74.9,62.4,2052,1743,73.3,62.3,751,1682,0.446,181,538,0.336,369,508,0.726,17.94,106.4,112,88.5,8,68.9,154,-0.032,248,5.13,119,7.49,88,104.8,122,99.7,127,Utah State,11
,,40,2021,42,Utah State,0,Mountain West,28,20,8,0.714,15,4,0.789,10,2,5,3,5,4,0,1,1273,1061,74.9,62.4,2052,1743,73.3,62.3,751,1682,0.446,181,538,0.336,369,508,0.726,17.94,106.4,112,88.5,8,68.9,154,-0.032,248,5.13,119,7.49,88,104.8,122,99.7,127,First Round,1,Utah State,11,21,14,23,22,Texas Tech,Big 12,27,17,10,0.63,9,8,0.529,11,4,5,4,1,2,3,8,1224,1162,72,68.4,1972,1712,73,63.4,686,1549,0.443,168,485,0.346,432,608,0.711,22.38,113.1,33,90.7,24,65.4,316,-0.091,333,11.29,59,-5.55,288,108,60,96.7,60,Texas Tech,6
10,,18,2021,9,Arkansas,0,SEC,28,22,6,0.786,13,4,0.765,16,1,5,4,1,1,2,2,1369,1263,80.5,74.3,2307,1979,82.4,70.7,825,1814,0.455,220,649,0.339,437,593,0.737,22.96,112.2,35,89.2,14,73.1,17,0.056,57,11.19,60,-5.28,282,108.2,56,97,69,First Round,1,Arkansas,3,,,84,57,Colgate,Patriot,15,14,1,0.933,11,1,0.917,8,1,6,0,0,0,0,0,1028,813,85.7,67.8,1295,1029,86.3,68.6,472,947,0.498,136,340,0.4,215,294,0.731,11.65,111.6,43,99.9,140,72.5,25,0.05,71,-6.6,313,-99,331,99.1,283,105.7,328,Colgate,14
,,84,2021,57,Colgate,1,Patriot,15,14,1,0.933,11,1,0.917,8,1,6,0,0,0,0,0,1028,813,85.7,67.8,1295,1029,86.3,68.6,472,947,0.498,136,340,0.4,215,294,0.731,11.65,111.6,43,99.9,140,72.5,25,0.05,71,-6.6,313,-99,331,99.1,283,105.7,328,First Round,1,Colgate,14,10,,18,9,Arkansas,SEC,28,22,6,0.786,13,4,0.765,16,1,5,4,1,1,2,2,1369,1263,80.5,74.3,2307,1979,82.4,70.7,825,1814,0.455,220,649,0.339,437,593,0.737,22.96,112.2,35,89.2,14,73.1,17,0.056,57,11.19,60,-5.28,282,108.2,56,97,69,Arkansas,3
,,37,2021,28,Florida  ,0,SEC,23,14,9,0.609,9,7,0.563,6,3,5,5,3,1,2,2,1158,1123,72.4,70.2,1701,1606,74,69.8,605,1303,0.464,157,440,0.357,334,441,0.757,18.98,111.7,40,92.7,37,68.7,165,0.003,166,14.62,23,8.64,76,109.7,27,95.1,25,First Round,1,Florida,7,25,,50,37,Virginia Tech,ACC,21,15,6,0.714,9,4,0.692,10,2,3,3,2,1,4,0,908,855,69.8,65.8,1515,1376,72.1,65.5,534,1183,0.451,173,485,0.357,274,393,0.697,16.65,110.7,55,94.1,54,66.2,293,0.066,45,9.31,80,0.54,206,107.6,71,98.2,104,Virginia Tech,10
25,,50,2021,37,Virginia Tech,0,ACC,21,15,6,0.714,9,4,0.692,10,2,3,3,2,1,4,0,908,855,69.8,65.8,1515,1376,72.1,65.5,534,1183,0.451,173,485,0.357,274,393,0.697,16.65,110.7,55,94.1,54,66.2,293,0.066,45,9.31,80,0.54,206,107.6,71,98.2,104,First Round,1,Virginia Tech,10,,,37,28,Florida  ,SEC,23,14,9,0.609,9,7,0.563,6,3,5,5,3,1,2,2,1158,1123,72.4,70.2,1701,1606,74,69.8,605,1303,0.464,157,440,0.357,334,441,0.757,18.98,111.7,40,92.7,37,68.7,165,0.003,166,14.62,23,8.64,76,109.7,27,95.1,25,Florida,7
7,23,7,2021,6,Ohio State,0,Big Ten,30,21,9,0.7,12,8,0.6,10,4,7,4,4,1,7,5,1519,1427,76,71.4,2320,2129,77.3,71,790,1719,0.46,247,677,0.365,493,646,0.763,26.85,123,4,96.1,79,67.1,247,0.003,163,18.78,5,2.86,162,111.7,8,92.9,3,First Round,1,Ohio State,2,,,152,61,Oral Roberts,Summit League,26,16,10,0.615,10,5,0.667,8,3,5,7,3,0,0,0,1222,1134,81.5,75.6,2126,1970,81.8,75.8,734,1617,0.454,294,754,0.39,364,442,0.824,2.64,109.4,74,106.7,285,71.8,47,0.013,147,0.01,177,21.34,4,102.9,173,102.8,206,Oral Roberts,15
,,152,2021,61,Oral Roberts,1,Summit League,26,16,10,0.615,10,5,0.667,8,3,5,7,3,0,0,0,1222,1134,81.5,75.6,2126,1970,81.8,75.8,734,1617,0.454,294,754,0.39,364,442,0.824,2.64,109.4,74,106.7,285,71.8,47,0.013,147,0.01,177,21.34,4,102.9,173,102.8,206,First Round,1,Oral Roberts,15,7,23,7,6,Ohio State,Big Ten,30,21,9,0.7,12,8,0.6,10,4,7,4,4,1,7,5,1519,1427,76,71.4,2320,2129,77.3,71,790,1719,0.46,247,677,0.365,493,646,0.763,26.85,123,4,96.1,79,67.1,247,0.003,163,18.78,5,2.86,162,111.7,8,92.9,3,Ohio State,2
2,8,3,2021,3,Illinois,1,Big Ten,29,23,6,0.793,16,4,0.8,11,2,9,3,3,0,8,3,1572,1377,78.6,68.9,2361,2008,81.4,69.2,851,1707,0.499,197,524,0.376,462,669,0.691,32.04,119.7,7,87.6,5,70.7,80,0.03,110,18.88,3,9.95,57,112.6,2,93.7,9,First Round,1,Illinois,1,,,146,63,Drexel,CAA,19,12,7,0.632,4,5,0.444,3,2,4,5,5,0,0,0,648,626,72,69.6,1358,1270,71.5,66.8,495,1038,0.477,138,371,0.372,230,296,0.777,3.05,107.8,95,104.8,247,64.2,340,-0.043,273,-3.31,238,-5.56,289,100.4,242,103.7,240,Drexel,16
,,146,2021,63,Drexel,1,CAA,19,12,7,0.632,4,5,0.444,3,2,4,5,5,0,0,0,648,626,72,69.6,1358,1270,71.5,66.8,495,1038,0.477,138,371,0.372,230,296,0.777,3.05,107.8,95,104.8,247,64.2,340,-0.043,273,-3.31,238,-5.56,289,100.4,242,103.7,240,First Round,1,Drexel,16,2,8,3,3,Illinois,Big Ten,29,23,6,0.793,16,4,0.8,11,2,9,3,3,0,8,3,1572,1377,78.6,68.9,2361,2008,81.4,69.2,851,1707,0.499,197,524,0.376,462,669,0.691,32.04,119.7,7,87.6,5,70.7,80,0.03,110,18.88,3,9.95,57,112.6,2,93.7,9,Illinois,1
17,,9,2021,30,Loyola-Chicago,1,Missouri Valley,28,24,4,0.857,16,2,0.889,13,0,8,3,3,1,0,1,1263,971,70.2,53.9,2002,1555,71.5,55.5,735,1456,0.505,201,546,0.368,331,458,0.723,25.18,111.1,49,85.9,1,64.2,342,-0.02,226,4.11,134,4.7,129,104.3,136,100.2,136,First Round,1,Loyola-Chicago,8,,,32,34,Georgia Tech,ACC,25,17,8,0.68,11,6,0.647,10,3,4,5,3,0,5,3,1220,1144,71.8,67.3,1888,1750,75.5,70,695,1466,0.474,189,541,0.349,309,425,0.727,19.98,114,27,94.1,52,67.8,215,-0.005,192,12.25,50,-0.99,228,108.7,47,96.5,51,Georgia Tech,9
,,32,2021,34,Georgia Tech,1,ACC,25,17,8,0.68,11,6,0.647,10,3,4,5,3,0,5,3,1220,1144,71.8,67.3,1888,1750,75.5,70,695,1466,0.474,189,541,0.349,309,425,0.727,19.98,114,27,94.1,52,67.8,215,-0.005,192,12.25,50,-0.99,228,108.7,47,96.5,51,First Round,1,Georgia Tech,9,17,,9,30,Loyola-Chicago,Missouri Valley,28,24,4,0.857,16,2,0.889,13,0,8,3,3,1,0,1,1263,971,70.2,53.9,2002,1555,71.5,55.5,735,1456,0.505,201,546,0.368,331,458,0.723,25.18,111.1,49,85.9,1,64.2,342,-0.02,226,4.11,134,4.7,129,104.3,136,100.2,136,Loyola-Chicago,8
,12,21,2021,19,Tennessee,0,SEC,26,18,8,0.692,10,7,0.588,13,3,4,4,1,1,2,2,1174,1128,69.1,66.4,1885,1644,72.5,63.2,661,1492,0.443,173,513,0.337,390,523,0.746,22.49,109.5,71,87,4,67.3,233,-0.007,199,12.44,49,-0.69,223,108.3,54,95.8,40,First Round,1,Tennessee,5,,,85,46,Oregon State,Pac-12,29,17,12,0.586,10,10,0.5,10,6,4,6,3,0,2,1,1337,1379,66.9,69,2049,1981,70.7,68.3,712,1638,0.435,203,575,0.353,422,557,0.758,11.6,110,65,98.4,117,65.4,315,0.075,38,11.16,62,-6.2,292,108.6,49,97.4,80,Oregon State,12
,,85,2021,46,Oregon State,1,Pac-12,29,17,12,0.586,10,10,0.5,10,6,4,6,3,0,2,1,1337,1379,66.9,69,2049,1981,70.7,68.3,712,1638,0.435,203,575,0.353,422,557,0.758,11.6,110,65,98.4,117,65.4,315,0.075,38,11.16,62,-6.2,292,108.6,49,97.4,80,First Round,1,Oregon State,12,,12,21,19,Tennessee,SEC,26,18,8,0.692,10,7,0.588,13,3,4,4,1,1,2,2,1174,1128,69.1,66.4,1885,1644,72.5,63.2,661,1492,0.443,173,513,0.337,390,523,0.746,22.49,109.5,71,87,4,67.3,233,-0.007,199,12.44,49,-0.69,223,108.3,54,95.8,40,Tennessee,5
11,,30,2021,15,Oklahoma State,0,Big 12,28,20,8,0.714,11,7,0.611,10,3,8,4,2,1,9,5,1372,1322,76.2,73.4,2158,2041,77.1,72.9,775,1658,0.467,179,529,0.338,429,602,0.713,20.2,110.8,54,90.6,22,72,43,0.039,89,14.63,22,4.55,134,110.6,16,96,42,First Round,1,Oklahoma State,4,,,97,53,Liberty,Atlantic Sun,28,23,5,0.821,11,2,0.846,13,0,5,3,5,2,0,0,926,779,71.2,59.9,2097,1670,74.9,59.6,761,1549,0.491,289,740,0.391,286,368,0.777,9.8,110.8,52,101,168,63.1,348,-0.013,211,-6.63,314,1.17,195,98.5,299,105.1,310,Liberty,13
,,97,2021,53,Liberty,1,Atlantic Sun,28,23,5,0.821,11,2,0.846,13,0,5,3,5,2,0,0,926,779,71.2,59.9,2097,1670,74.9,59.6,761,1549,0.491,289,740,0.391,286,368,0.777,9.8,110.8,52,101,168,63.1,348,-0.013,211,-6.63,314,1.17,195,98.5,299,105.1,310,First Round,1,Liberty,13,11,,30,15,Oklahoma State,Big 12,28,20,8,0.714,11,7,0.611,10,3,8,4,2,1,9,5,1372,1322,76.2,73.4,2158,2041,77.1,72.9,775,1658,0.467,179,529,0.338,429,602,0.713,20.2,110.8,54,90.6,22,72,43,0.039,89,14.63,22,4.55,134,110.6,16,96,42,Oklahoma State,4
16,,20,2021,24,San Diego State,1,Mountain West,27,23,4,0.852,14,3,0.824,13,2,6,2,4,0,2,0,1272,1036,74.8,60.9,2000,1635,74.1,60.6,695,1529,0.455,229,611,0.375,381,527,0.723,22.72,111.5,44,88.8,11,66.1,298,0.018,134,6.26,109,10.85,49,105.7,102,99.4,121,First Round,1,San Diego State,6,,,41,41,Syracuse,ACC,25,16,9,0.64,9,7,0.563,13,1,2,7,1,1,1,3,1179,1147,73.7,71.7,1896,1768,75.8,70.7,676,1533,0.441,203,598,0.339,341,435,0.784,17.66,114.5,22,96.9,89,69.2,138,0.017,137,11.66,57,2.46,171,108.5,51,96.8,64,Syracuse,11
,,41,2021,41,Syracuse,0,ACC,25,16,9,0.64,9,7,0.563,13,1,2,7,1,1,1,3,1179,1147,73.7,71.7,1896,1768,75.8,70.7,676,1533,0.441,203,598,0.339,341,435,0.784,17.66,114.5,22,96.9,89,69.2,138,0.017,137,11.66,57,2.46,171,108.5,51,96.8,64,First Round,1,Syracuse,11,16,,20,24,San Diego State,Mountain West,27,23,4,0.852,14,3,0.824,13,2,6,2,4,0,2,0,1272,1036,74.8,60.9,2000,1635,74.1,60.6,695,1529,0.455,229,611,0.375,381,527,0.723,22.72,111.5,44,88.8,11,66.1,298,0.018,134,6.26,109,10.85,49,105.7,102,99.4,121,San Diego State,6
13,15,27,2021,10,West Virginia,0,Big 12,27,18,9,0.667,11,6,0.647,8,5,7,2,3,2,5,7,1327,1259,78.1,74.1,2087,1947,77.3,72.1,711,1660,0.428,196,549,0.357,469,654,0.717,21.75,116.8,11,95.1,65,69.6,114,-0.04,264,14.84,19,13.58,27,109.2,37,94.4,17,First Round,1,West Virginia,3,,,128,56,Morehead State,Ohio Valley,30,23,7,0.767,17,3,0.85,12,1,8,5,3,1,0,2,1420,1236,71,61.8,2065,1902,68.8,63.4,738,1601,0.461,197,562,0.351,392,575,0.682,5.32,100.9,214,95.5,72,65.6,312,0.152,3,-1.99,217,16.33,14,101.4,216,103.4,230,Morehead State,14
,,128,2021,56,Morehead State,1,Ohio Valley,30,23,7,0.767,17,3,0.85,12,1,8,5,3,1,0,2,1420,1236,71,61.8,2065,1902,68.8,63.4,738,1601,0.461,197,562,0.351,392,575,0.682,5.32,100.9,214,95.5,72,65.6,312,0.152,3,-1.99,217,16.33,14,101.4,216,103.4,230,First Round,1,Morehead State,14,13,15,27,10,West Virginia,Big 12,27,18,9,0.667,11,6,0.647,8,5,7,2,3,2,5,7,1327,1259,78.1,74.1,2087,1947,77.3,72.1,711,1660,0.428,196,549,0.357,469,654,0.717,21.75,116.8,11,95.1,65,69.6,114,-0.04,264,14.84,19,13.58,27,109.2,37,94.4,17,West Virginia,3
,,42,2021,27,Clemson,0,ACC,23,16,7,0.696,10,6,0.625,11,1,2,5,3,1,2,1,1032,1051,64.5,65.7,1502,1426,65.3,62,541,1264,0.428,192,555,0.346,228,298,0.765,17.59,107.6,99,99,20,64.2,338,0.123,7,14.19,29,11.65,42,109.5,33,95.3,30,First Round,1,Clemson,7,,24,34,40,Rutgers,Big Ten,26,15,11,0.577,10,10,0.5,10,4,4,6,1,1,1,7,1359,1371,68,68.6,1819,1774,70,68.2,696,1544,0.451,157,505,0.311,270,427,0.632,19.57,109.3,75,89.8,18,67.8,213,0.032,104,18.2,7,-5.43,285,112.4,4,94.2,13,Rutgers,10
,24,34,2021,40,Rutgers,0,Big Ten,26,15,11,0.577,10,10,0.5,10,4,4,6,1,1,1,7,1359,1371,68,68.6,1819,1774,70,68.2,696,1544,0.451,157,505,0.311,270,427,0.632,19.57,109.3,75,89.8,18,67.8,213,0.032,104,18.2,7,-5.43,285,112.4,4,94.2,13,First Round,1,Rutgers,10,,,42,27,Clemson,ACC,23,16,7,0.696,10,6,0.625,11,1,2,5,3,1,2,1,1032,1051,64.5,65.7,1502,1426,65.3,62,541,1264,0.428,192,555,0.346,228,298,0.765,17.59,107.6,99,99,20,64.2,338,0.123,7,14.19,29,11.65,42,109.5,33,95.3,30,Clemson,7
6,17,6,2021,8,Houston,1,American,27,24,3,0.889,14,3,0.824,15,0,5,3,4,0,1,0,1273,1001,74.9,58.9,2096,1562,77.6,57.9,739,1664,0.444,252,699,0.361,366,494,0.741,30.25,119.6,8,89.4,16,64.9,327,-0.009,201,6.57,106,1.63,186,103.7,151,97.1,74,First Round,1,Houston,2,,,151,60,Cleveland State,Horizon,26,19,7,0.731,16,4,0.8,9,2,8,5,2,0,0,1,1431,1359,71.6,68,1858,1835,71.5,70.6,684,1514,0.452,166,520,0.319,324,484,0.669,2.8,101.5,199,98.7,121,66.3,282,0.19,1,-1.09,199,21.21,6,105,114,106.1,337,Cleveland State,15
,,151,2021,60,Cleveland State,1,Horizon,26,19,7,0.731,16,4,0.8,9,2,8,5,2,0,0,1,1431,1359,71.6,68,1858,1835,71.5,70.6,684,1514,0.452,166,520,0.319,324,484,0.669,2.8,101.5,199,98.7,121,66.3,282,0.19,1,-1.09,199,21.21,6,105,114,106.1,337,First Round,1,Cleveland State,15,6,17,6,8,Houston,American,27,24,3,0.889,14,3,0.824,15,0,5,3,4,0,1,0,1273,1001,74.9,58.9,2096,1562,77.6,57.9,739,1664,0.444,252,699,0.361,366,494,0.741,30.25,119.6,8,89.4,16,64.9,327,-0.009,201,6.57,106,1.63,186,103.7,151,97.1,74,Houston,2
1,1,1,2021,1,Gonzaga,1,WCC,26,26,0,1,15,0,1,12,0,7,0,7,0,4,0,1363,1002,90.9,66.8,2395,1797,92.1,69.1,888,1612,0.551,190,520,0.365,429,590,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,Second Round,2,Gonzaga,1,,,39,32,Oklahoma,Big 12,25,15,10,0.6,9,8,0.529,10,3,4,7,1,0,5,7,1232,1179,72.5,69.4,1869,1731,74.8,69.2,670,1517,0.442,200,591,0.338,329,442,0.744,18.07,112.1,36,94.1,53,67.7,222,-0.038,260,12.45,48,0.59,203,108.2,55,95.7,38,Oklahoma,8
,,39,2021,32,Oklahoma,0,Big 12,25,15,10,0.6,9,8,0.529,10,3,4,7,1,0,5,7,1232,1179,72.5,69.4,1869,1731,74.8,69.2,670,1517,0.442,200,591,0.338,329,442,0.744,18.07,112.1,36,94.1,53,67.7,222,-0.038,260,12.45,48,0.59,203,108.2,55,95.7,38,Second Round,2,Oklahoma,8,1,1,1,1,Gonzaga,WCC,26,26,0,1,15,0,1,12,0,7,0,7,0,4,0,1363,1002,90.9,66.8,2395,1797,92.1,69.1,888,1612,0.551,190,520,0.365,429,590,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,Gonzaga,1
